song_title,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Hell Of A Life,0.00142,0.449,327787,0.813,0.000172,8,0.106,-5.478,1,0.129,177.962,4,0.452
Blame Game,0.306,0.419,469867,0.581,6.30E-05,10,0.11,-5.964,0,0.0688,80.305,1,0.636
Lost In The World,0.115,0.608,256587,0.746,0.0087,5,0.427,-5.249,0,0.184,117.072,4,0.277
Who Will Survive In America,0.228,0.677,98200,0.842,0.000684,1,0.856,-6.111,1,0.36,116.166,4,0.595
Dark Fantasy - Album Version (Edited),0.274,0.579,280760,0.564,0,5,0.205,-5.834,1,0.0459,87.915,4,0.396
Gorgeous - Album Version (Edited),0.0227,0.604,357653,0.723,0.000217,6,0.242,-3.57,0,0.0314,92.015,4,0.134
POWER - Album Version (Edited),0.0138,0.534,292093,0.925,0,0,0.709,-4.945,0,0.14,154.072,4,0.557
All Of The Lights (Interlude) - Album Version (Edited),0.903,0.398,62267,0.0785,0.524,10,0.135,-16.577,0,0.0402,113.062,3,0.522
All Of The Lights - Album Version (Edited),0.0632,0.547,299600,0.794,4.88E-05,1,0.196,-3.28,1,0.0596,142.138,4,0.243
Monster - Album Version (Edited),0.00231,0.623,378853,0.692,0.0137,11,0.458,-5.721,0,0.187,124.997,5,0.103
So Appalled - Album Version (Edited),0.24,0.658,397787,0.732,0,1,0.669,-5.876,0,0.269,87.356,4,0.638
Devil In A New Dress - Album Version (Edited),0.0182,0.287,352547,0.75,0,8,0.12,-5.099,0,0.109,82.509,4,0.193
Runaway - Album Version (Edited),0.21,0.387,547667,0.563,0.00381,1,0.505,-3.882,0,0.0804,86.848,4,0.0817
Hell Of A Life - Album Version (Edited),0.00142,0.456,327827,0.818,0.00032,10,0.174,-5.503,0,0.116,177.861,4,0.435
Blame Game - Album Version (Edited),0.3,0.634,469853,0.572,0.00018,5,0.112,-6.166,0,0.0436,86.416,4,0.622
Lost In The World - Album Version (Edited),0.101,0.611,256587,0.745,0.00561,5,0.4,-5.251,0,0.169,117.027,4,0.297
Who Will Survive In America - Album Version (Edited),0.241,0.631,98213,0.831,0.000818,1,0.856,-6.187,1,0.381,116.669,4,0.548
Say You Will,0.542,0.603,377600,0.401,0.225,0,0.103,-10.155,0,0.0306,172.633,4,0.347
Welcome To Heartbreak,0.0985,0.677,262933,0.435,0.721,7,0.111,-11.024,0,0.033,95.991,4,0.0729
Heartless,0.0515,0.79,211000,0.647,0,10,0.248,-5.983,0,0.136,87.999,4,0.654
Amazing,0.216,0.588,238333,0.554,0.118,8,0.0619,-8.406,1,0.0545,146.133,4,0.496
Love Lockdown,0.0542,0.76,270307,0.524,0.5,1,0.112,-7.67,0,0.0323,119.603,4,0.112
Paranoid,0.114,0.587,277907,0.611,9.83E-05,6,0.0765,-7.408,1,0.106,114.991,4,0.464
RoboCop,0.157,0.698,274360,0.447,0.00564,5,0.405,-8.04,0,0.102,133.776,4,0.407
Street Lights,0.0287,0.644,189907,0.487,0.0166,6,0.206,-9.654,1,0.034,125.528,4,0.467
Bad News,0.0288,0.749,238773,0.436,0.201,9,0.114,-11.99,1,0.0393,106.171,4,0.167
See You In My Nightmares,0.0626,0.676,258120,0.432,0,7,0.103,-8.035,0,0.0339,124.597,4,0.156
